Id	Input	Output
0	真 的 觉 得 非 常 值 得 各 位 集 羹 们 试 一 下 ！	真 的 觉 得 非 常 值 得 各 位 集 美 们 试 一 下 ！
1	让 皮 肤 年 轻 透 亮 又 弹 性 ！	让 皮 肤 年 轻 透 亮 有 弹 性 ！
2	隔 天 起 来 就 觉 得 泛 红 呀 血 丝 呀 也 豆 有 消 得 7 7 8 8 !	隔 天 起 来 就 觉 得 泛 红 呀 血 丝 呀 也 都 有 消 得 7 7 8 8 !
3	丝 芙 兰 下 单 到 手 自 己 一 用 ， 哇 茲 哇 ， 怎 么 颜 色 和 上 唇 感 受 也 那 么 优 秀 的 ！	丝 芙 兰 下 单 到 手 自 己 一 用 ， 哇 哇 哇 ， 怎 么 颜 色 和 上 唇 感 受 也 那 么 优 秀 的 ！
4	慢 慢 的 就 可 以 画 粗 梅 花 啦 ！	慢 慢 的 就 可 以 画 出 梅 花 啦 ！
5	被 他 替 包 装 所 吸 引 ， 水 墨 画 的 图 案 让 我 爱 不 释 手 ！	被 他 的 包 装 所 吸 引 ， 水 墨 画 的 图 案 让 我 爱 不 释 手 ！
6	化 妆 水 流 动 性 好 ， 用 起 乃 也 比 较 清 爽 ！	化 妆 水 流 动 性 好 ， 用 起 来 也 比 较 清 爽 ！
7	内 含 古 老 宝 石 橄 榄 石 粒 子 ， 为 籍 肤 提 供 新 能 源 ， 减 少 细 胞 变 性 ， 减 少 肌 肤 老 化 迹 象 。	内 含 古 老 宝 石 橄 榄 石 粒 子 ， 为 肌 肤 提 供 新 能 源 ， 减 少 细 胞 变 性 ， 减 少 肌 肤 老 化 迹 象 。
8	针 推 人 群 ： 有 去 黄 改 善 暗 沉 需 求 的 熬 夜 党 们 ；	针 对 人 群 ： 有 去 黄 改 善 暗 沉 需 求 的 熬 夜 党 们 ；
9	刷 出 的 睫 毛 朝 级 卷 翘 ， 纤 长 自 然 ， 没 有 苍 蝇 腿 !	刷 出 的 睫 毛 超 级 卷 翘 ， 纤 长 自 然 ， 没 有 苍 蝇 腿 !
10	土 上 就 是 你 就 是 小 仙 女 ！	涂 上 就 是 你 就 是 小 仙 女 ！
11	蛋 清 般 的 质 地 ， 流 动 性 很 强 ， 清 爽 好 吸 收 ， 艺 点 不 会 黏 腻 厚 重	蛋 清 般 的 质 地 ， 流 动 性 很 强 ， 清 爽 好 吸 收 ， 一 点 不 会 黏 腻 厚 重
12	牛 油 果 有 保 渥 滋 养 的 效 果 。	牛 油 果 有 保 湿 滋 养 的 效 果 。
13	也 可 少 量 使 用 伏 贴 头 发 小 碎 投	也 可 少 量 使 用 伏 贴 头 发 小 碎 发
14	给 我 选 了 娇 兰 小 灯 泡 粉 底 鱗 ！	给 我 选 了 娇 兰 小 灯 泡 粉 底 液 ！
15	即 便 是 深 夜 我 在 电 视 台 导 演 节 目 也 不 必 担 心 ， 说 到 底 是 要 针 对 自 己 的 皮 肤 状 况 ， 找 到 合 适 特 成 分 和 产 品 。	即 便 是 深 夜 我 在 电 视 台 导 演 节 目 也 不 必 担 心 ， 说 到 底 是 要 针 对 自 己 的 皮 肤 状 况 ， 找 到 合 适 的 成 分 和 产 品 。
16	兰 嘉 丝 汀 是 不 是 丝 芙 兰 的 舱 海 遗 珠 ！	兰 嘉 丝 汀 是 不 是 丝 芙 兰 的 沧 海 遗 珠 ！
17	前 调 是 俏 皮 革 爱 的 黑 醋 栗 果 香	前 调 是 俏 皮 可 爱 的 黑 醋 栗 果 香
18	不 含 酒 精 的 雪 肌 精 你 矗 得 拥 有 ！	不 含 酒 精 的 雪 肌 精 你 值 得 拥 有 ！
19	和 姐 妹 逛 街 在 丝 芙 兰 又 淘 出 了 新 款 精 仲	和 姐 妹 逛 街 在 丝 芙 兰 又 淘 出 了 新 款 精 华
20	第 二 天 早 上 脸 蛋 子 太 好 鸟	第 二 天 早 上 脸 蛋 子 太 好 了
21	它 返 有 源 于 日 本 自 然 环 境 的 核 心 成 分	它 含 有 源 于 日 本 自 然 环 境 的 核 心 成 分
22	眉 笔 的 另 一 头 是 螺 旋 刷 头 ， 用 来 晕 染 延 展 刚 刚 好 ， 而 且 不 用 担 心 绘 有 斑 驳 问 题 ！	眉 笔 的 另 一 头 是 螺 旋 刷 头 ， 用 来 晕 染 延 展 刚 刚 好 ， 而 且 不 用 担 心 会 有 斑 驳 问 题 ！
23	增 加 肌 肤 抗 氧 化 力 ， 平 滑 均 匀 附 色 。	增 加 肌 肤 抗 氧 化 力 ， 平 滑 均 匀 肤 色 。
24	现 在 我 的 包 包 里 每 天 都 要 带 着 这 值 精 华	现 在 我 的 包 包 里 每 天 都 要 带 着 这 支 精 华
25	这 样 的 做 风 也 是 让 我 爱 了 爱 了	这 样 的 作 风 也 是 让 我 爱 了 爱 了
26	用 了 半 瓶 感 觉 以 浩 肯 定 会 回 购 的 ！	用 了 半 瓶 感 觉 以 后 肯 定 会 回 购 的 ！
27	没 想 到 里 面 竟 然 是 有 花 般 的	没 想 到 里 面 竟 然 是 有 花 瓣 的
28	从 之 前 入 过 小 样 后 就 心 心 念 ， 直 到 前 几 雰 买 了 大 瓶 的 。	从 之 前 入 过 小 样 后 就 心 心 念 ， 直 到 前 几 天 买 了 大 瓶 的 。
29	丝 芙 兰 的 小 众 品 牌 汇 一 直 很 有 好 感 ， 每 次 路 过 都 会 去 淘 一 下 。	丝 芙 兰 的 小 众 品 牌 我 一 直 很 有 好 感 ， 每 次 路 过 都 会 去 淘 一 下 。
30	冬 季 用 它 ， 肌 护 不 再 干 燥 ， 光 彩 无 限 。	冬 季 用 它 ， 肌 肤 不 再 干 燥 ， 光 彩 无 限 。
31	赀 妆 前 使 用 ， 可 以 帮 助 改 善 肌 肤 外 油 内 干 ， 呈 现 哑 光 妆 感 细 腻 弹 嫩 的 美 好 肤 质 ；	上 妆 前 使 用 ， 可 以 帮 助 改 善 肌 肤 外 油 内 干 ， 呈 现 哑 光 妆 感 细 腻 弹 嫩 的 美 好 肤 质 ；
32	就 算 厚 涂 也 完 全 矮 会 有 负 担	就 算 厚 涂 也 完 全 不 会 有 负 担
